context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,192,16384,throughput_enc_mbps,3,0.6993807436923508,0.6993807436923508,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,64,avalanche_score,3,0.4986979166666667,0.4986979166666667,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,64,avg_decrypt_time_s,3,8.610532929499943e-05,8.610532929499943e-05,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,64,avg_encrypt_time_s,3,7.645600320150456e-05,7.645600320150456e-05,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,64,key_avalanche_score,2,0.450078125,0.450078125,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,64,throughput_dec_mbps,3,0.727769787260702,0.727769787260702,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,64,throughput_enc_mbps,3,0.7995727367812545,0.7995727367812545,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,256,avalanche_score,3,0.5024479166666667,0.5024479166666667,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,256,avg_decrypt_time_s,3,0.00015863533597439527,0.00015863533597439527,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,256,avg_encrypt_time_s,3,0.0001705316617153585,0.0001705316617153585,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CTR,128,256,key_avalanche_score,2,0.4423046875,0.4423046875,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
