context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CTR,192,1024,avg_encrypt_time_s,4,0.0003844859984951654,0.0003844859984951654,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,1024,key_avalanche_score,4,0.43705078125,0.43705078125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,1024,throughput_dec_mbps,4,2.6782800437597016,2.6782800437597016,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,1024,throughput_enc_mbps,4,2.573169650586674,2.573169650586674,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,avalanche_score,4,0.50302734375,0.50302734375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,avg_decrypt_time_s,4,0.001188005998603785,0.001188005998603785,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,avg_encrypt_time_s,4,0.0012252849992887606,0.0012252849992887606,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,key_avalanche_score,4,0.4425,0.4425,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,throughput_dec_mbps,4,3.3470540512316873,3.3470540512316873,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,throughput_enc_mbps,4,3.245749239759875,3.245749239759875,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,16384,avalanche_score,4,0.50390625,0.50390625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,16384,avg_decrypt_time_s,4,0.004630232752560914,0.004630232752560914,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,16384,avg_encrypt_time_s,4,0.004490159243598555,0.004490159243598555,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,16384,key_avalanche_score,4,0.44375,0.44375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,16384,throughput_dec_mbps,4,3.4000612573530695,3.4000612573530695,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,16384,throughput_enc_mbps,4,3.5181131306788456,3.5181131306788456,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
